sub,tar LL,tar LR,tar RL,tar RR,1st r new cor,1st r new inc,1st r old l,1st r old r,2nd r new cor,2nd ret new inc,2nd r old l,2nd r old r,dis l l,dis l r,dis r l,dis r r
56,1.53,2.38,2.55,2.5,0.42,1.63,0.53,0.59,0,0.85,0.95,1.43,1.17,3.17,2.53,1.95
57,1.23,1.88,2.14,2.81,0.23,0.68,1.4,0.85,2.53,3.45,0.55,1.33,2.1,1.92,2.13,2.29
59,0.7,3.66,2.15,2.51,2.03,0.98,2.76,0.8,0.62,2.66,0.47,5.58,2.78,3.4,2.38,0.59
62,2.4,1.75,1.78,0.47,1.52,2.58,0.55,1.98,1.35,4.54,1.97,1.77,1.77,4.62,0.82,0.3
63,1.13,2.5,2.75,2.2,2.13,2.24,3.5,1.7,1.38,4.11,2.11,2.02,1.52,1.2,3.44,2.45
64,1.33,2.63,3.6,1.64,1.33,2.71,2.4,1.83,2.37,3.26,1.03,2.42,2.54,2.37,2.17,1.43
65,0.58,2.71,1.99,1.08,0.42,0.62,1.37,3.33,0.35,0.25,0.23,1.2,0.9,3.33,2.31,1.2
66,2.58,2.18,2,2.04,1.5,1.02,2.46,3.2,1.12,3.3,0.83,0.98,2.3,3.15,3.12,0.42
67,1.23,1.4,3.09,3.48,0,2.63,2.71,0.98,0.45,3.56,2.4,1.47,2.35,2.9,2.59,0.95
68,1.02,1.88,1.58,2.35,0,2.1,1.03,1.78,0.68,1.05,0.6,0.95,1.48,1.95,1.65,1.53
69,1.37,2.01,3.91,2.12,0.53,2.21,3.07,2.81,1.82,4.83,1.36,1.27,1.08,2.45,3.24,1.49
70,0.44,1.08,0.81,0.15,0.45,1.73,1.83,0.6,0.43,0,0,0,0.45,1.18,2.68,2.33
71,1.08,2.73,3,0.48,0.47,1.05,1.68,0.83,0,0.51,0,0,1.12,1.97,2.42,0.43
72,0.7,1.95,1.42,0.63,0.35,1.18,1.08,0.22,0.04,1.85,0.47,0.6,1.1,2.23,1.63,1.65
73,1.97,2,1.57,1.52,0.93,1.35,0.7,0,0.45,0.5,0.62,0.78,0.27,2.35,4.85,2.03
74,0,0.1,0.65,0.8,0,0,0.1,0.32,1.12,2.43,0,0.63,0.22,1.25,0.79,1
75,1.4,2.82,2.02,1.15,0.8,1.97,0.5,1.13,0.47,2.8,0,0.87,1.36,2.41,2.3,0.57
76,0.13,0.95,1.26,0,1.65,1.72,1.68,1.18,0,0.52,0.39,1.27,1.1,0.45,0.53,1.7
