"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","avg_acc","similar"
"99","47",2712,1,"2","Male","Not Hispanic","Asian, Caucasian","f","g","g",2.46,29.52,7,0,"Leaf","1","Right","JacketLeaf",0.65,"similar"
"100","48",6184,1,"2","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,8,0,"Grapes","1","Right","BalloonsGrapes",0.9,"similar"
"101","49",3542,1,"2","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,1,0,"Clock","1","Left","ClockBicycle",0.85,"similar"
"102","50",2325,1,"2","Female","Not Hispanic","Asian and Caucasian","d","e","g",2.22,26.7,2,0,"Shoe","1","Left","ShoeSock",0.7,"similar"
"103","51",3376,1,"2","Male","Not Hispanic","Caucasian","f","g","e",2.47,29.69,3,0,"Jacket","1","Left","JacketLeaf",0.9,"similar"
"104","52",3507,1,"2","Female","Not Hispanic","Caucasian","e","e","c",2.2,26.37,4,0,"Balloons","1","Left","BalloonsGrapes",0.8,"similar"
"105","53",4296,1,"2","Male","Not Hispanic","Caucasian","e","c","e",2.3,27.55,5,0,"Bicycle","1","Right","ClockBicycle",0.75,"similar"
"106","54",5169,1,"2","Female","Hispanic","Caucasian","f","c","d",2.16,25.94,6,0,"Sock","1","Right","ShoeSock",0.75,"similar"
"107","56",3410,1,"2","Female","Not Hispanic","Caucasian","f","g","e",2.45,29.39,8,0,"Grapes","1","Right","BalloonsGrapes",0.9,"similar"
"108","58",6143,1,"2","Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,2,0,"Shoe","1","Left","ShoeSock",0.578947368421053,"similar"
"109","59",5476,0,"2","Male","Not Hispanic","Caucasian","d","d","e",2.27,27.19,3,0,"Jacket","1","Right","JacketLeaf",0.85,"similar"
"110","60",4861,0,"2","Female","Not Hispanic","Caucasian","c","e","c",2.31,27.68,4,0,"Balloons","1","Right","BalloonsGrapes",0.55,"similar"
"111","62",3197,1,"2","Female","1/8 Hispanic","Caucasian","d","e","b",2.34,28.04,6,0,"Sock","1","Right","ShoeSock",0.85,"similar"
"112","63",2763,0,"2","Male","Hispanic","","e","c","c",2.36,28.34,7,0,"Leaf","0","Left","JacketLeaf",0.85,"similar"
"113","64",6019,1,"2","","Not Hispanic","Caucasian","c","c","d",2.41,28.96,8,0,"Grapes","1","Right","BalloonsGrapes",0.75,"similar"
"114","65",6685,1,"2","Male","","Caucasian","f","e","e",2.48,29.72,1,0,"Clock","1","Left","ClockBicycle",0.9,"similar"
"115","66",2855,1,"2","Female","Not Hispanic","Asian/Caucasian","f","g","f",2.41,28.96,2,0,"Shoe","1","Left","ShoeSock",0.8,"similar"
"116","67",2072,1,"2","Female","Not Hispanic","Caucasian","e","e","e",2.33,28.01,3,0,"Jacket","1","Left","JacketLeaf",0.9,"similar"
"117","68",4182,0,"2","Male","Not Hispanic","Caucasian","e","c","d",2.32,27.88,4,0,"Balloons","1","Right","BalloonsGrapes",0.7,"similar"
"118","69",2187,1,"2","Male","Not Hispanic","Caucasian","f","g","g",2.36,28.37,5,0,"Bicycle","1","Right","ClockBicycle",0.85,"similar"
