"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","similar"
"113","64",6019,1,"2","","Not Hispanic","Caucasian","c","c","d",2.41,28.96,8,0,"Grapes","1","Right","BalloonsGrapes","similar"
"114","65",6685,1,"2","Male","","Caucasian","f","e","e",2.48,29.72,1,0,"Clock","1","Left","ClockBicycle","similar"
"115","66",2855,1,"2","Female","Not Hispanic","Asian/Caucasian","f","g","f",2.41,28.96,2,0,"Shoe","1","Left","ShoeSock","similar"
"116","67",2072,1,"2","Female","Not Hispanic","Caucasian","e","e","e",2.33,28.01,3,0,"Jacket","1","Left","JacketLeaf","similar"
"117","68",4182,0,"2","Male","Not Hispanic","Caucasian","e","c","d",2.32,27.88,4,0,"Balloons","1","Right","BalloonsGrapes","similar"
"118","69",2187,1,"2","Male","Not Hispanic","Caucasian","f","g","g",2.36,28.37,5,0,"Bicycle","1","Right","ClockBicycle","similar"
"119","70",1811,1,"2","Male","Hispanic","","b","b","b",2.55,30.61,6,0,"Sock","1","Right","ShoeSock","similar"
"120","71",3565,1,"2","Female","Not Hispanic","Caucasian","e","d","b",2.56,30.71,7,0,"Leaf","1","Right","JacketLeaf","similar"
"121","73",2871,0,"2","Male","Not Hispanic","Caucasian","e","e","e",2.27,27.19,1,0,"Clock","1","Right","ClockBicycle","similar"
"122","74",3105,1,"2","Male","Not Hispanic","Caucasian","f","d","h",2.52,30.21,2,0,"Shoe","1","Left","ShoeSock","similar"
"123","75",3022,1,"2","Female","Not Hispanic","Caucasian","f","e","b",2.56,30.71,3,0,"Jacket","1","Left","JacketLeaf","similar"
"124","76",3915,1,"2","Female","Not Hispanic","Caucasian","d","d","d",2.22,26.7,4,0,"Balloons","1","Left","BalloonsGrapes","similar"
"125","77",2599,1,"2","Female","Not Hispanic","African American/Caucasian","e","d","d",2.49,29.85,5,0,"Bicycle","1","Right","ClockBicycle","similar"
"126","78",2811,1,"2","Female","Not Hispanic","Caucasian","f","c","d",2.43,29.16,6,0,"Sock","1","Right","ShoeSock","similar"
"127","79",3707,1,"2","Male","Hispanic","Caucasian","f","e","e",2.49,29.85,7,0,"Leaf","1","Right","JacketLeaf","similar"
"128","80",3428,1,"2","Male","Not Hispanic","Caucasian","f","e","e",2.14,25.68,8,0,"Grapes","1","Right","BalloonsGrapes","similar"
"129","81",6332,1,"2","Male ","Hispanic","Caucasian","d","c","d",2.36,28.27,1,0,"Clock","1","Left","ClockBicycle","similar"
"130","84",3615,1,"2","Male ","Hispanic","Caucasian","d","g","c",2.41,28.9,4,0,"Balloons","1","Left","BalloonsGrapes","similar"
"131","86",2145,1,"2","Female","Not Hispanic","Caucasian","f","g","d",2.21,26.53,6,0,"Sock","1","Right","ShoeSock","similar"
"132","87",2792,0,"2","Male","Hispanic ","Caucasian","e","g","e",2.34,28.11,7,0,"Leaf","1","Left","JacketLeaf","similar"
"133","88",7201,1,"2","Male ","Not Hispanic ","Native Hawaiian & Caucasian","c","c","g",2.25,26.99,8,0,"Grapes","1","Right","BalloonsGrapes","similar"
"134","89",1574,1,"2","Female","Not Hispanic","Caucasian ","d","b","b",2.21,26.47,1,0,"Clock","1","Left","ClockBicycle","similar"
"135","90",2656,1,"2","Male","Hispanic","Caucasian","d","g","e",2.52,30.18,2,0,"Shoe","1","Left","ShoeSock","similar"
"136","91",8818,1,"2","Male","Not Hispanic","African American","f","g","c",2.46,29.49,3,0,"Jacket","1","Left","JacketLeaf","similar"
"137","93",3459,1,"2","Female","Not Hispanic","Asian","","","",2.68,32.15,5,0,"Bicycle","1","Right","ClockBicycle","similar"
"138","95",3829,1,"2","Female","Not Hispanic ","Caucasian","e","e","g",2.85,34.16,6,0,"Sock","1","Right","ShoeSock","similar"
"139","97",11717,1,"2"," Female","Not Hispanic ","Caucasian","d","c","c",2.34,28.11,8,0,"Grapes","1","Right","BalloonsGrapes","similar"
"140","101",2395,1,"3","Male","Caucasian",NA,"","e","e",2.52,30.21,4,0,"Ball","1","Right","SpoonBall","dissimilar"
"141","102",2773,1,"3","Male ","Caucasian/ Asian-American",NA,"e","g","e",2.38,28.57,5,0,"Cake","1","Left","CakeDoll","dissimilar"
"142","103",3540,1,"3","Female","Caucasian ",NA,"e","c","b",2.68,32.19,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar"
"143","106",2629,1,"3","Female","Caucasian","","f","e","e",2.55,30.58,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar"
"144","107",2411,1,"3","Male","African American, Caucasian, American Indian, Asian-American",NA,"d","g","c",2.6,31.17,3,0,"Bear","1","Right","AppleBear","dissimilar"
"145","108",3652,1,"3","Male","Caucasian",NA,"f","e","g",2.43,29.16,4,0,"Ball","1","Right","SpoonBall","dissimilar"
"146","109",3087,1,"3","Male","Caucasion, Asian-American","","f","e","g",2.39,28.67,1,0,"Doll","1","Right","CakeDoll","dissimilar"
"147","110",2639,1,"3","Male","Caucasian","","f","e","e",2.44,29.29,6,0,"Balloons","1","Left","BalloonsDuck ","dissimilar"
"148","111",2504,1,"3","Female","Caucasian","","f","e","e",2.64,31.69,7,0,"Apple","1","Left","AppleBear","dissimilar"
"149","112",1622,1,"3","Male","Caucasian","","f","e","e",2.65,31.86,8,0,"Spoon","1","Left","SpoonBall","dissimilar"
"150","113",12155,0,"3","Male","Caucasiasian-American","","f","e","b",2.55,30.54,1,0,"Doll","1","Left","CakeDoll","dissimilar"
"151","114",8541,1,"3","Male","Non-Hispanic","Caucasian","d","d","d",2.33,27.95,2,0,"Duck","1","Right","BalloonsDuck ","dissimilar"
"152","116",1725,1,"3","Female","Asian-Russian","","d","e","d",2.49,29.85,4,0,"Ball","1","Right","SpoonBall","dissimilar"
"153","117",2137,1,"3","Male","Non-Hispanic","Caucasian","e","e","g",2.59,31.04,5,0,"Cake","1","Left","CakeDoll","dissimilar"
