Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,14,14.01,encode,57,SPACE,GREEN,1478,TRUE,50152,31,48,GREEN,1500,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,15,15.01,encode,57,SPACE,BLUE,1346,TRUE,51801,33,49,BLUE,1367,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,16,16.01,encode,57,SPACE,BLUE,1219,TRUE,53318,32,49,BLUE,1250,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,17,17.01,encode,57,SPACE,YELLOW,1184,TRUE,54718,33,49,YELLOW,1200,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,18,18.01,encode,57,SPACE,BLUE,1135,TRUE,56068,32,49,BLUE,1167,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,19,19.01,encode,57,SPACE,BLUE,1120,TRUE,57385,32,48,BLUE,1151,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,20,20.01,encode,57,SPACE,RED,1225,TRUE,58685,32,49,RED,1250,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,21,21.01,encode,57,SPACE,RED,1335,TRUE,60085,32,48,RED,1351,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,22,22.01,encode,57,SPACE,RED,1224,TRUE,61585,32,48,RED,1250,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,23,23.01,encode,57,SPACE,RED,1236,TRUE,62985,32,49,RED,1266,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,24,24.01,encode,57,SPACE,BLUE,1408,TRUE,64402,32,49,BLUE,1432,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,25,25.01,encode,57,SPACE,YELLOW,1255,TRUE,65985,32,49,YELLOW,1283,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,26,26.01,encode,57,SPACE,GREEN,1019,TRUE,67419,32,48,GREEN,1050,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,27,27.01,encode,57,SPACE,YELLOW,1095,TRUE,68619,32,49,YELLOW,1116,blacksquare.bmp,101
